freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,HTC,NR,HR	5372 	5904 	5685 	5660 	5645 	5753 	5927 	6230 	6511 	6803 	7343 	11021 b	: 
A,HTC,NR,HU	35818 	34920 	35595 	35890 	35053 	33444 	36679 	38910 	41113 	43929 	47731 b	52436 	: 
A,HTC,NR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,HTC,NR,IS	: 	: 	: 	: 	: 	: 	: 	1942 p	2179 p	2188 p	2205 	: 	: 
A,HTC,NR,IT	111803 d	109614 	108061 	106603 	106235 	104362 	105837 	107574 	110804 	111827 b	115810 	115598 	: 
A,HTC,NR,LT	1958 	2006 	2026 	2124 	2612 	3117 	4972 	6220 	7139 	8140 	9100 b	10021 	: 
A,HTC,NR,LU	1503 	1566 	1674 	1750 	1820 b	1939 	2019 	2158 	2199 	2312 	2429 	2530 	: 
A,HTC,NR,LV	2393 	2633 	3056 	3433 	4410 	5106 	5465 	6270 	6832 	6914 	7393 	7565 	: 
A,HTC,NR,MK	: 	: 	: 	1095 	1195 	1262 	1285 	1428 	1516 	1599 	1822 	1977 	: 
A,HTC,NR,MT	: @C	: @C	1040 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,HTC,NR,NL	29653 	32892 	54030 	58311 	64095 	82647 	86026 	90810 	95420 	98325 	104681 	110430 	: 
A,HTC,NR,NO	13736 	12960 	13080 	13082 	13633 	14084 	14352 	15347 	15628 	15600 	15591 b	17319 	: 
A,HTC,NR,PL	42950 	49135 	53527 	58333 	64009 	68831 	76741 	82553 	93461 	104929 	121323 b	133119 	: 
A,HTC,NR,PT	16593 	15667 	15055 	15075 	14746 	14890 	15194 	16001 	16803 	18277 	19453 	21288 	: 
A,HTC,NR,RO	17508 p	18019 p	16293 	15152 	16262 	17078 	18274 	19490 	20924 	22761 	24382 b	25796 	: 
A,HTC,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	5082 p	5038 p	5346 	5631 	: 
A,HTC,NR,SE	46143 	47600 	50279 	53119 	53845 	53851 	: @C	57379 	59121 	60531 	57919 b	59538 	: 
A,HTC,NR,SI	5265 	5938 	6638 	7075 	7390 	8064 	8890 	9565 	10117 	10624 	11062 	11286 	: 
A,HTC,NR,SK	2916 	: @C	9731 b	12121 	12247 	12782 	15967 	17968 	18826 	21126 	23955 	25986 	: 
A,HTC,NR,TR	: 	26442 	: 	: 	: 	1039 	1004 	: 	: 	: 	: 	: 	: 
A,HTC,NR,UK	151485 	144806 	145848 	156697 	162896 	176069 	186761 	202623 	213897 b	218582 	224017 	: 	: 
A,KIS_HTC,NR,AT	15338 	15289 	16612 	17068 	17539 	17934 	18321 	18454 	18458 	19573 	19693 b	21293 	: 
A,KIS_HTC,NR,BA	: 	: 	: 	505 dp	811 p	769 p	956 e	1057 e	: @C	1228 b	1362 	1460 	: 
A,KIS_HTC,NR,BE	: @C	18630 	23401 	24462 	26351 	28922 	28617 	29672 	31386 	33957 	35805 b	40205 	: 
A,KIS_HTC,NR,BG	5509 	6993 	7199 	7776 	8415 	9182 	9919 	10812 	11906 	12778 	13529 b	14416 	: 
A,KIS_HTC,NR,CH	: 	5145 d	5118 bd	5205 d	5342 d	6129 d	6470 d	6291 	6374 	6594 	6644 	6868 	: 
A,KIS_HTC,NR,CY	493 	597 	680 	730 	773 	810 	867 	965 	1199 	1449 	1745 	2097 	: 
A,KIS_HTC,NR,CZ	29334 p	31162 	29923 	30339 	30524 	30587 	31561 	33188 	36423 	41061 	44630 	47398 	: 
A,KIS_HTC,NR,DE	81747 	81166 	83584 	90472 	92477 	96896 	112579 	119070 	121654 	130925 	129854 b	127268 	: 
A,KIS_HTC,NR,DK	11299 	11504 	12681 	13650 	14056 	14474 	15115 	15097 	16087 	16918 	17373 b	17910 	: 
A,KIS_HTC,NR,EE	1841 	1967 	2448 	2940 	3255 	3708 	3875 	4413 	4669 	5380 	5792 b	6488 	: 
A,KIS_HTC,NR,EL	13565 	13466 	12724 	12460 	12304 	12389 	24684 bp	24323 p	22522 p	19215 p	19225 b	20159 	: 
A,KIS_HTC,NR,ES	41936 	42065 	42294 	43790 	46530 	46726 	50116 	52485 	62702 	66848 	64894 b	66561 	: 
A,KIS_HTC,NR,EU27_2007	: @C	: @C	815821 du	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KIS_HTC,NR,EU27_2020	: 	: 	: 	718790 du	760664 de	806080 du	880632 du	894270 de	946608 du	991828 du	1036900 du	1094484 e	: 
A,KIS_HTC,NR,EU28	: 	: 	: 	869546 de	917260 du	975642 du	1060959 du	1086859 du	1151685 de	1205652 du	1254770 du	: 	: 
A,KIS_HTC,NR,FI	7828 	7913 	8209 	8462 	8736 	9123 b	9223 	9638 	9781 	10234 b	10424 	11058 	: 
A,KIS_HTC,NR,FR	: @C	71008 	98183 	98456 	115845 	127547 	141647 b	118138 b	121237 	117397 b	124373 	134864 	: 
A,KIS_HTC,NR,HR	4527 	5018 	4890 	4912 	4932 	5180 	5383 	5691 	5956 	6248 	6802 	10456 b	: 
A,KIS_HTC,NR,HU	33134 	33183 	33846 	34202 	33449 	31896 	35154 	37392 	39627 	42452 	46232 b	50947 	: 
A,KIS_HTC,NR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,KIS_HTC,NR,IS	: 	: 	: 	: 	: 	: 	: 	1914 p	2153 p	2161 p	2180 	: 	: 
A,KIS_HTC,NR,IT	104424 	102705 	101381 	100331 	100251 	98679 	100384 	102209 	105461 	106607 b	110678 	110443 	: 
A,KIS_HTC,NR,LT	1796 	1856 	1873 	1975 	2456 	2962 	4804 	6059 	6988 	7973 	8935 b	9847 	: 
A,KIS_HTC,NR,LU	1493 	1555 	1663 	1740 	1809 b	1929 	2009 	2147 	2189 	2300 	2417 	2519 	: 
A,KIS_HTC,NR,LV	2283 	2523 	2925 	3297 	4249 	4943 	5294 	6087 	6636 	6712 	7197 	7361 	: 
A,KIS_HTC,NR,MK	: 	: 	: 	1036 	1133 	1197 	1226 	1366 	1447 	1533 	1748 	1901 	: 
A,KIS_HTC,NR,MT	722 	858 	1007 	: @C	993 	884 	: @C	: @C	: @C	1320 	1444 	1517 	: 
A,KIS_HTC,NR,NL	28305 	31467 	52438 	56678 	62455 	80840 	84213 	88992 	93618 	96524 	102664 	108329 	: 
A,KIS_HTC,NR,NO	13393 	12618 	12759 	12751 	13301 	13762 	14043 	15039 	15313 	15287 	15309 b	17038 	: 
A,KIS_HTC,NR,PL	40568 	46196 	50430 	55227 	60976 	65399 	73280 	79414 	90051 	101388 	117022 b	128800 	: 
A,KIS_HTC,NR,PT	16011 	15124 	14541 	14566 	14251 	14396 	14726 	15533 	16337 	17799 	18981 	20805 	: 
A,KIS_HTC,NR,RO	16199 p	16832 p	15201 	14201 	15277 	16098 	17284 	18495 	19973 	21813 	23418 b	24873 	: 
A,KIS_HTC,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	4111 p	4145 p	4456 	4771 	: 
A,KIS_HTC,NR,SE	44168 	45683 	48404 	51276 	52029 	52088 	54120 	55588 	57302 	58758 	56462 b	58101 	: 
A,KIS_HTC,NR,SI	4939 	5615 	6313 	6752 	7061 	7730 	8543 	9207 	9760 	10266 	10696 	10926 	: 
A,KIS_HTC,NR,SK	2648 	907 	8913 b	11291 	11492 	12023 	15133 	17115 	17615 	19892 	22093 	24203 	: 
A,KIS_HTC,NR,TR	: 	25645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KIS_HTC,NR,UK	144006 	137370 	139017 	150128 	156511 	169541 	180257 	195974 	207211 b	211849 	217371 	: 	: 
A,KIS_MKT_OTH,NR,AT	54046 	54878 	58701 	59571 	60720 	62783 	63566 	64337 	64974 	66695 	61854 b	66609 	: 
A,KIS_MKT_OTH,NR,BA	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	5254 e	: @C	: @C	: @C	: 
A,KIS_MKT_OTH,NR,BE	77363 	: @C	: @C	: @C	112459 	120566 	134847 	140464 	148023 	151594 	150623 b	163364 	: 
A,KIS_MKT_OTH,NR,BG	29309 	35257 	36119 	36549 	37522 	38525 	39838 	41694 	43969 	45223 	46427 b	47891 	: 
A,KIS_MKT_OTH,NR,CH	: 	20584 d	20549 bd	20737 d	21114 d	24252 d	25046 d	24406 	24415 	24707 	24627 	24817 	: 
A,KIS_MKT_OTH,NR,CY	3917 	4179 	4873 	5213 	5496 	5709 	6068 	6513 	: @C	8155 	9024 	10019 	: 
A,KIS_MKT_OTH,NR,CZ	165543 p	172009 	170153 	171486 	172806 	171906 	176357 	179597 	184859 	189357 	197714 	201333 	: 
A,KIS_MKT_OTH,NR,DE	334095 	338809 	349570 	373840 	381141 	401387 	462170 	480615 	487396 	515283 	499429 b	486104 	: 
A,KIS_MKT_OTH,NR,DK	30629 	29631 	31189 	32516 	33021 	33016 	33723 	33682 	35816 	36930 	37470 b	38399 	: 
A,KIS_MKT_OTH,NR,EE	8211 	8664 	8793 	9598 	10392 	11282 	11804 	12600 	12900 	14029 	14681 b	15421 	: 
A,KIS_MKT_OTH,NR,EL	121621 	123839 	120738 	115739 	112149 	105627 	157757 bp	148248 p	149265 p	134568 p	132695 b	134631 	: 
A,KIS_MKT_OTH,NR,ES	376203 	366289 	359870 	354597 	338733 	339151 	327254 	341195 	385645 	389406 	402600 b	412881 	: 
A,KIS_MKT_OTH,NR,EU27_2007	: @C	3470850 de	3724280 du	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KIS_MKT_OTH,NR,EU27_2020	: 	: 	: 	: @C	: @C	3675517 de	3895013 du	3938093 	4111247 du	: @C	: @C	4419826 u	: 
A,KIS_MKT_OTH,NR,EU28	: 	: 	: 	3828927 du	3947288 du	4088781 de	4332294 de	4403498 	4617748 du	: @C	: @C	: 	: 
A,KIS_MKT_OTH,NR,FI	33596 	33947 	34500 	35109 	35714 	36274 b	36088 	36392 	36491 	37277 b	37167 	38080 	: 
A,KIS_MKT_OTH,NR,FR	: @C	: @C	415653 	421809 	479020 	506498 	523737 b	469990 b	488659 	458997 b	492175 	530215 	: 
A,KIS_MKT_OTH,NR,HR	21441 	23802 	20530 	20049 	21505 	22845 	23724 	24080 	24693 	26034 	26999 	33862 b	: 
A,KIS_MKT_OTH,NR,HU	112876 	116458 	118955 	117831 	113148 	105270 	114269 	120965 	125225 	131579 	139264 b	150791 	: 
A,KIS_MKT_OTH,NR,IE	35018 	36667 	37853 	38379 	: @C	39571 	39472 	40896 	: @C	: @C	: @C	: @C	: 
A,KIS_MKT_OTH,NR,IS	: 	: 	: 	: 	: 	: 	: 	4356 p	4742 p	4898 p	4953 	: 	: 
A,KIS_MKT_OTH,NR,IT	687190 	692857 	702482 	685034 	695574 	678028 	690725 	698951 	717473 	731164 b	746160 	724855 	: 
A,KIS_MKT_OTH,NR,LT	12461 	12168 	13805 	15964 	17720 	19692 	24698 	27300 	28378 	29628 	31841 b	33966 	: 
A,KIS_MKT_OTH,NR,LU	6053 u	6433 u	6805 u	7138 u	7181 u	7718 u	7964 u	8110 u	8290 u	9074 u	9418 u	9839 u	: 
A,KIS_MKT_OTH,NR,LV	10196 	11304 	12506 	13080 	16152 	17257 	18047 	19893 	20670 	20532 	20725 	20846 	: 
A,KIS_MKT_OTH,NR,MK	: 	: 	: 	5142 	5547 	5830 	5987 	6313 	6600 	: @C	: @C	: @C	: 
A,KIS_MKT_OTH,NR,MT	4369 	3773 	4125 	3620 	3540 	: @C	: @C	3686 	4449 	4482 	5275 	5502 	: 
A,KIS_MKT_OTH,NR,NL	139992 	152710 	215212 	229811 	251504 	318465 	331277 	344521 	361863 	369652 	391484 	414523 	: 
A,KIS_MKT_OTH,NR,NO	33475 d	40768 d	41358 d	42499 d	43917 d	45109 d	46383 d	48795 d	49179 d	49012 d	48412 bd	52116 d	: 
A,KIS_MKT_OTH,NR,PL	185889 	181107 	185035 	199578 	210288 	215166 	233253 	244102 	268916 	279621 	319548 b	332490 	: 
A,KIS_MKT_OTH,NR,PT	124716 	122421 	118374 	114307 	110227 	108719 	110996 	114259 	117746 	123179 	125984 	129491 	: 
A,KIS_MKT_OTH,NR,RO	60784 p	61907 p	55675 	50771 	53761 	55574 	58703 	59506 	61909 	65136 	68277 b	71610 	: 
A,KIS_MKT_OTH,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	11758 p	11515 p	11789 	12077 	: 
A,KIS_MKT_OTH,NR,SE	142942 	147445 	156775 	165195 	168617 	169743 	174726 	178373 	183067 	187382 	176407 b	180652 	: 
A,KIS_MKT_OTH,NR,SI	19225 	20534 	22021 	23138 	23936 	26701 	28058 	29922 	31704 	33175 	34431 	35416 	: 
A,KIS_MKT_OTH,NR,SK	9834 	: @C	51105 b	: @C	52558 	54925 	62823 	68174 	70504 	76438 	81683 	85319 	: 
A,KIS_MKT_OTH,NR,TR	: 	131855 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KIS_MKT_OTH,NR,UK	351740 	342902 	348271 	371318 	383034 	413080 	436853 	465405 	506596 b	501099 	503724 	: 	: 
A,LKIS_MKT,NR,AT	161385 	158174 	162156 	163091 	164993 	170745 	171897 	171442 	171970 	176304 	165865 b	172362 	: 
A,LKIS_MKT,NR,BA	: 	: 	: 	15031 p	14199 p	: @C	: @C	44964 e	: @C	45896 b	45189 	44480 	: 
A,LKIS_MKT,NR,BE	233916 	246562 	: @C	: @C	287101 	275146 	277855 	285236 	281376 	284038 	299178 b	298519 	: 
A,LKIS_MKT,NR,BG	186894 	214418 	213425 	211087 	212657 	212100 	215060 	217475 	223365 	225439 	226497 b	228656 	: 
A,LKIS_MKT,NR,CH	: 	68122 d	66555 bd	65826 d	65040 d	67851 d	69394 d	67022 	65968 	66212 	65723 	65969 	: 
A,LKIS_MKT,NR,CY	30923 	30363 	28005 	27207 	27607 	26889 	26963 	27669 	28497 	29343 	30141 	30780 	: 
A,LKIS_MKT,NR,CZ	389209 p	409264 	416808 	432054 	432743 	424328 	421242 	417450 	419994 	408530 	410915 	417304 	: 
A,LKIS_MKT,NR,DE	1006211 	1165236 	1159766 	1207880 	1203926 	1188113 	1342658 	1229469 	1255230 	1285651 	1294509 b	1271718 	: 
A,LKIS_MKT,NR,DK	110999 	108579 	109399 	111906 	111240 	109965 	109365 	107722 	111288 	113326 	113853 b	114523 	: 
A,LKIS_MKT,NR,EE	25775 	25703 	26932 	27863 	29301 	31181 	31486 	33261 	34324 	36578 	36626 b	38516 	: 
A,LKIS_MKT,NR,EL	505527 	493221 	480983 	449660 	445239 	432832 	487345 bp	466069 p	468066 p	432105 p	425288 b	428783 	: 
A,LKIS_MKT,NR,ES	1568231 	1529034 	1495182 	1461387 	1457932 	1434639 	1440637 	1478895 	1647211 	1603610 	1569701 b	1593619 	: 
A,LKIS_MKT,NR,EU27_2007	11292547 	11196107 	11460744 du	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,LKIS_MKT,NR,EU27_2020	: 	: 	: 	10902349 de	11032117 	11045799 	11370170 	11239184 	11643845 	11482057 	11538353 	11638452 	: 
A,LKIS_MKT,NR,EU28	: 	: 	: 	11612611 du	11778586 	11816342 	12157929 	12052600 	12547804 	12395669 	12475334 	: 	: 
A,LKIS_MKT,NR,FI	111941 	111942 	111510 	111818 	111701 	116723 b	115376 	114942 	115517 	116229 b	115469 	116195 	: 
A,LKIS_MKT,NR,FR	1259233 	1189820 	1314496 	1356926 	1497864 	1556680 	1643265 b	1543268 b	1645697 	1467177 b	1477830 	1505049 	: 
A,LKIS_MKT,NR,HR	89861 	96422 	88816 	81718 	77810 	75800 	76850 	76647 	76770 	76573 	78087 	89839 b	: 
A,LKIS_MKT,NR,HU	286564 	273846 	272094 	271011 	261793 	250222 	251267 	259266 	263480 	266406 	273361 b	287228 	: 
A,LKIS_MKT,NR,IE	111801 	112870 	114217 	113687 	115474 	114791 	111683 	115881 	115530 	123438 	121786 	120920 	: 
A,LKIS_MKT,NR,IS	: 	: 	: 	: 	: 	: 	: 	11360 p	12773 p	13413 p	13621 	: 	: 
A,LKIS_MKT,NR,IT	2028469 	1997659 	1994419 	2004783 	1999700 	1996191 	1956870 	1938850 	1956123 	1946792 b	1927977 	1894104 	: 
A,LKIS_MKT,NR,LT	86574 	71557 	71788 	76453 	83456 	88171 	95825 	100780 	102062 	108649 	112127 b	116832 	: 
A,LKIS_MKT,NR,LU	14965 	15341 	15429 	15654 	15602 	16282 	16521 	16676 	16673 	17048 b	17056 	17254 	: 
A,LKIS_MKT,NR,LV	47646 	47833 	49016 	46482 	52325 	54339 	55626 	59667 	62702 	60479 	59424 	58041 	: 
A,LKIS_MKT,NR,MK	: 	: 	: 	35793 	35767 	35295 	34599 	34645 	34615 	34000 	35246 	35142 	: 
A,LKIS_MKT,NR,MT	15421 	16555 	16939 	16427 	15805 	15227 	15557 	15291 	16840 	16380 	17989 	17939 	: 
A,LKIS_MKT,NR,NL	261729 	270933 	327368 	333590 	348091 	400316 	405955 	417100 	429031 	435467 	452048 	474356 	: 
A,LKIS_MKT,NR,NO	141624 	141342 	139801 	140872 	143115 	143455 	145298 	147975 	149581 	149326 	133920 b	148675 	: 
A,LKIS_MKT,NR,PL	877295 	792138 	811806 	824728 	813346 	787776 	804204 	822034 	845242 	851385 	930390 b	933164 	: 
A,LKIS_MKT,NR,PT	587831 	567981 	541804 	525925 	505970 	498932 	505435 	524875 	542395 	566884 	585050 	606786 	: 
A,LKIS_MKT,NR,RO	306586 p	291663 p	267962 	245481 	255340 	260904 	271786 	271115 	273495 	283345 	289361 b	293381 	: 
A,LKIS_MKT,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	46981 p	43594 p	44547 	44572 	: 
A,LKIS_MKT,NR,SE	255080 	257114 	264567 	276124 	280170 	280112 	280399 	284696 	289982 	293694 	247184 b	248892 	: 
A,LKIS_MKT,NR,SI	45746 	46880 	48265 	49003 	49973 	52803 	53483 	55217 	56452 	57455 	58801 	60095 	: 
A,LKIS_MKT,NR,SK	35548 	36340 	178275 b	183829 	174956 	174590 	185559 	188191 	194533 	199732 	201840 	203597 	: 
A,LKIS_MKT,NR,TR	: 	1741207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,LKIS_MKT,NR,UK	775797 	749232 	739471 	752684 	746469 	770543 	787759 	813416 	903959 b	913612 	936981 	: 	: 
