freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_HTC,NR,EU27_2007	49977 de	48806 de	48100 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C_HTC,NR,EU27_2020	: 	: 	: 	40459 de	39500 de	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,C_HTC,NR,EU28	: 	: 	: 	47009 de	46100 de	46400 de	: @C	45000 du	45696 de	: @C	: @C	: 	: 
A,C_HTC,NR,FI	627 	597 	597 	603 	602 	597 b	600 	601 	599 	603 b	589 	598 	578 p
A,C_HTC,NR,FR	4538 	4264 	3403 	3155 	3227 	3309 	3178 b	3354 b	3460 	2547 b	: @C	2752 	2723 p
A,C_HTC,NR,HR	845 	886 	795 	748 	713 	573 	544 	539 	555 	555 	541 	565 b	555 p
A,C_HTC,NR,HU	2684 	1737 	1749 	1688 	1604 	1548 	1525 	1518 	1486 	1477 	1499 b	1489 	1382 p
A,C_HTC,NR,IE	436 	475 	466 	465 	495 	520 	532 	: @C	: @C	: @C	: @C	: @C	: @C
A,C_HTC,NR,IS	: 	: 	: 	: 	: 	: 	: 	28 p	26 p	27 p	25 	: 	: 
A,C_HTC,NR,IT	7379 d	6909 	6680 	6272 	5984 	5683 	5453 	5365 	5343 	5220 b	5132 	5155 	: 
A,C_HTC,NR,LT	162 	150 	153 	149 	156 	155 	168 	161 	151 	167 	165 b	174 	165 p
A,C_HTC,NR,LU	10 	11 	11 	10 	11 	10 	10 	11 	10 	12 	12 	11 	12 p
A,C_HTC,NR,LV	110 	110 	131 	136 	161 	163 	171 	183 	196 	202 	196 	204 	199 p
A,C_HTC,NR,MK	: 	: 	: 	59 	62 	65 	59 	62 	69 	66 	74 	76 	76 p
A,C_HTC,NR,MT	: @C	: @C	33 	: @C	: @C	: @C	36 	: @C	: @C	: @C	: @C	: @C	35 p
A,C_HTC,NR,NL	1348 	1425 	1592 	1633 	1640 	1807 	1813 	1818 	1802 	1801 	2017 	2101 	2101 p
A,C_HTC,NR,NO	343 	342 	321 	331 	332 	322 	309 	308 	315 	313 	282 b	281 	267 p
A,C_HTC,NR,PL	2382 	2939 	3097 	3106 	3033 	3432 	3461 	3139 	3410 	3541 	4301 b	4319 	4168 p
A,C_HTC,NR,PT	582 	543 	514 	509 	495 	494 	468 	468 	466 	478 	472 	483 	504 p
A,C_HTC,NR,RO	1309 	1187 p	1092 	951 	985 	980 	990 	995 	951 	948 	964 b	923 	921 p
A,C_HTC,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	971 p	893 p	890 	860 	851 p
A,C_HTC,NR,SE	1975 	1917 	1875 	1843 	1816 	1763 	: @C	1791 	1819 	1773 	1457 b	1437 	1422 p
A,C_HTC,NR,SI	326 	323 	325 	323 	329 	334 	347 	358 	357 	358 	366 	360 	356 p
A,C_HTC,NR,SK	268 	: @C	818 b	830 	755 	759 	834 	853 	1211 	1234 	1862 	1783 	1664 p
A,C_HTC,NR,TR	: 	797 	: 	: 	: 	1039 	1004 	: 	: 	: 	: 	: 	: 
A,C_HTC,NR,UK	7479 	7436 	6831 	6569 	6385 	6528 	6504 	6649 	6686 b	6733 	6646 	: 	: 
A,C_HTC_M,NR,AT	2581 	2490 	2509 	2524 	2529 	2536 	2610 	2510 	2460 	2517 	2450 b	2516 	2494 p
A,C_HTC_M,NR,BA	: 	: 	: 	: @C	393 p	374 p	410 e	423 e	433 e	473 b	445 	433 	: 
A,C_HTC_M,NR,BE	: @C	: @C	3549 	3300 	3000 	2793 	3021 	: @C	2935 	3247 	2735 b	3360 	3421 p
A,C_HTC_M,NR,BG	2218 	2182 	2174 	2104 	2085 	2104 	2165 	2201 	2264 	2348 	2390 b	2389 	2368 p
A,C_HTC_M,NR,CH	: 	3089 d	3056 bd	3009 d	2941 d	2997 d	2908 d	2781 	2711 	2671 	2613 	: 	: 
A,C_HTC_M,NR,CY	315 	314 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,C_HTC_M,NR,CZ	24406 p	24762 	25553 	24959 	24218 	22830 	22195 	21421 	20915 	20071 	19719 	19348 	18628 p
A,C_HTC_M,NR,DE	28282 	27023 	29893 	29567 	29107 	29567 	30020 	28400 	28615 	27647 	28963 b	29325 	29141 p
A,C_HTC_M,NR,DK	2705 	2661 	2656 	2652 	2658 	2590 	2645 	2650 	2747 	2768 	2840 b	2891 	2891 p
A,C_HTC_M,NR,EE	421 	403 	409 	411 	450 	483 	493 	566 	581 	603 	596 b	631 	643 p
A,C_HTC_M,NR,EL	5953 	5770 	: @C	5330 	4389 	3678 	4944 bp	4668 p	4584 p	4407 p	4436 b	4440 	4439 p
A,C_HTC_M,NR,ES	16322 	15842 	15294 	14409 	14010 	12665 	12745 	13088 	13168 	13524 	13624 b	13242 	13676 p
