mun_key,distance,probe_id,msm_id,type,step,proto,prb_id,dst_addr,dst_name,af,size,avg_rtt,min_rtt,med_rtt,max_rtt,sent,rcvd,lost,ttl,sample_type,mun_name_short,mun_pop_cen22,state,mun_lat,mun_lon
096775621181,6.0359014458803815,1010374,155991104,ping,,ICMP,1010374.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,30.529474599999997,30.398066,30.51,30.701165,5,5,0,47,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
096775621181,14.754627006239993,52685,155991104,ping,,ICMP,52685.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,34.6626166,33.548958,33.913,38.187375,5,5,0,55,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
096775621181,27.263250741882032,50445,155991104,ping,,ICMP,50445.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,51.101392,49.697917,49.768,55.373417,5,5,0,58,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
097610000000,0.5046027046257243,1002071,155991104,ping,,ICMP,1002071.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,22.804704200000003,22.316064,22.395,24.529114,5,5,0,51,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,0.6621873363229853,31056,155991104,ping,,ICMP,31056.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,39.920097999999996,39.657176,39.899,40.17767,5,5,0,58,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,0.7585383961324195,22386,155991104,ping,,ICMP,22386.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,29.481761800000005,29.255669,29.405,29.8791,5,5,0,56,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,1.3822011153224685,34752,155991104,ping,,ICMP,34752.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,39.921652800000004,38.767123,39.924,41.110947,5,5,0,58,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097740121121,10.680619054903552,10920,155991104,ping,,ICMP,10920.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,48.8393704,48.531099,48.852,49.02592,5,5,0,56,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,11.03660203403293,53353,155991104,ping,,ICMP,53353.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,28.4121,28.275916,28.407,28.593333,5,5,0,53,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,26.9053084505275,1506,155991104,ping,,ICMP,1506.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,31.272045400000003,30.739207,30.947,32.560903,5,5,0,52,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,26.94873488800068,51834,155991104,ping,,ICMP,51834.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,61.3504584,60.763625,61.061,62.79,5,5,0,54,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,30.27240957564748,50828,155991104,ping,,ICMP,50828.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,41.259800000000006,39.825208,40.279,45.415208,5,5,0,52,median,Burgau,10670,Bayern,48.430206,10.4107793
160755013127,31.314870154046552,50852,155991104,ping,,ICMP,50852.0,16.16.206.178,aws-sto.ncc.dock.ee,4,48,33.152633200000004,33.050916,33.116,33.355083,5,5,0,58,bottom,Ziegenrück,626,Thüringen,50.6083002,11.6509304
