probe_id,asn,lat,lon
12038,8881,49.3715,8.2485
12092,6805,47.7085,9.5515
12118,39835,51.2015,9.7275
12125,9211,53.5495,9.9885
12177,3320,50.9605,9.7605
12211,8422,50.9375,6.8875
12225,3320,49.8595,8.6385
12239,3320,48.7415,9.0885
12264,8881,52.4695,13.4205
12298,3320,52.5415,13.4015
12583,201701,51.7085,8.7715
12712,201701,51.6885,8.7375
12724,5539,48.1395,11.5785
12935,6805,50.0695,8.8385
12944,12611,49.0095,12.0995
13002,8881,52.0185,7.6675
13049,8881,52.4415,13.4395
13106,3209,49.3905,8.7875
13190,203520,50.0775,8.6315
13267,15987,51.2605,7.1505
13314,3320,50.7695,12.0575
13415,3320,51.5595,9.8475
13430,58243,51.1275,6.9585
13477,680,52.2805,8.0305
13662,3320,51.6385,8.5105
13677,3209,51.7205,8.7605
14111,3209,51.2175,6.7675
14194,15372,51.0095,13.7015
14332,3209,52.4485,13.1285
14369,6805,52.5315,13.3505
14377,8220,52.5205,13.4405
14502,,52.4085,13.4975
14525,3320,49.8995,11.0285
14595,15943,53.5595,9.9515
14685,3320,49.6395,12.0415
14694,3320,52.5895,13.4315
14719,3320,48.6115,11.7475
14752,3209,50.1085,8.6795
14784,3320,51.9995,8.5215
14803,8881,52.2785,10.5175
14894,3320,50.8295,12.9415
15024,3320,53.5595,9.9285
15049,3209,50.1315,8.6895
15087,39835,51.5005,9.7515
15128,3320,49.4515,10.9185
15146,3320,49.4805,8.4695
15199,3209,49.4415,7.7615
15637,3320,50.5505,9.6685
15736,9145,53.6005,9.0685
15809,8422,50.8215,6.0575
15835,6805,53.5695,10.1385
15863,3320,49.1885,12.0505
15921,43847,50.8975,12.1985
15945,15943,53.5795,10.1395
16064,39835,51.5195,9.9505
16066,196954,51.8505,6.6305
16124,48154,51.6195,12.3185
16156,8893,53.5505,10.0395
16188,3209,51.2115,6.8015
16286,3320,51.0105,11.0015
16334,201701,52.2695,10.5285
16506,8881,51.2305,6.7675
16519,3320,50.1415,8.5575
16546,8365,49.8805,8.6495
16555,3320,50.2595,8.6295
16583,8881,49.8985,8.6715
16665,3320,51.1895,7.2305
16667,3320,50.7405,7.2005
16693,3320,48.5085,11.7015
17250,3320,50.6775,10.9195
17858,24961,51.2715,6.8195
17909,9063,49.7015,6.5675
18089,3320,49.5215,6.4215
18290,8881,49.3375,8.6715
18393,3320,48.6085,9.5515
18470,8881,50.4575,7.6005
18673,197975,53.6385,10.0305
18675,33824,48.1195,11.6005
18811,62336,49.1675,9.4475
18956,3320,53.4905,9.9895
19267,3209,50.8005,7.2105
19341,8899,50.4275,8.6695
19474,20686,49.4995,11.2805
19615,3320,50.2195,8.6375
19632,3209,54.6985,9.4285
19669,51978,53.6615,11.3705
19675,48284,48.3995,9.9905
19810,553,48.7375,9.0975
19823,553,48.7785,9.1785
19832,553,48.7785,9.1785
19836,553,48.7805,9.1785
19837,553,48.7805,9.1785
19853,553,48.0885,9.7895
19869,6805,48.7815,9.1805
19884,553,48.2095,9.0315
20008,208974,49.0115,8.4175
20049,3320,51.4815,7.0395
20060,197637,52.5775,9.5805
20118,3320,50.1615,8.6275
20121,50324,52.5275,13.3185
20130,20849,49.0275,8.4685
20250,3320,49.3675,10.1795
20257,213281,50.5005,9.7095
20354,3209,48.1095,11.7795
20471,24909,51.2175,6.9405
20499,8820,51.2015,6.7715
20534,51906,50.0995,8.6185
20555,208135,52.5095,13.4495
20605,3320,48.1395,11.5775
20631,34154,49.8575,8.6285
20715,197729,50.1195,8.7375
20792,20677,48.7085,9.6915
21280,3320,51.0975,6.2415
21306,29484,51.4405,7.2575
21313,3209,50.0785,8.2275
21339,3209,51.4415,6.7785
21349,62365,51.0415,13.7295
21364,211752,52.4995,13.3005
21412,553,49.4185,8.6675
21413,34878,49.0085,8.4075
21416,34372,51.6805,8.7375
21421,3320,49.0075,8.3885
21423,41998,49.0285,10.2685
21424,553,48.9095,9.1785
21425,3320,48.5295,9.0485
21436,553,48.8905,8.7285
21441,3209,49.0075,8.3995
21446,34878,49.0905,8.4295
21464,34878,49.0195,8.3705
21469,3320,52.3915,13.0605
21470,553,48.7775,9.1805
21557,553,49.4205,8.6695
21574,13101,48.7795,9.1805
21576,553,48.7405,9.0905
21674,3320,49.8095,8.5605
21727,25220,51.1805,6.8685
21937,8881,49.0005,8.4685
21954,3320,49.9095,10.3895
21959,42442,50.1315,8.5995
22054,3320,52.4295,13.3195
22055,9145,52.9995,9.0695
22069,21173,53.6915,10.2605
22092,3320,48.7285,9.1115
22098,3320,51.1415,9.2515
22109,553,48.7815,9.1875
22115,8881,51.4395,7.0175
22152,553,48.7785,9.1795
22181,8881,49.0275,8.3615
22198,553,48.8915,9.1815
22294,29413,47.8495,12.1015
22340,13045,52.2775,10.5295
22378,680,51.5715,7.0305
22386,8767,48.3705,10.9015
22427,3320,50.5305,8.6785
22455,3320,50.7995,8.7595
22475,61028,53.3095,13.9805
22859,51057,52.4615,13.3695
22893,21476,48.1285,11.5615
22981,3320,49.4675,10.9915
22983,3209,52.4685,13.2915
23178,41585,51.4315,7.5705
23191,34568,51.1875,6.8715
23216,3209,50.6505,12.2175
23363,3320,48.9985,8.4305
23368,3320,54.2415,9.6605
23392,29413,47.8585,12.1215
23606,3209,52.4105,13.5375
23617,57154,47.6805,9.1775
23905,8881,48.9195,9.1375
23970,3320,51.7375,8.6705
23994,8422,50.7695,6.0915
24000,8899,48.1175,11.1575
24040,3320,51.8275,14.1495
24081,200519,49.8675,8.6215
24084,29066,50.0995,8.6315
24114,33984,50.9795,7.0175
24157,680,48.0805,11.6295
24174,3209,51.7795,8.8205
24196,8899,49.3105,10.7515
24357,3209,48.5905,9.7995
24371,3209,49.5775,11.0105
24539,3320,48.7715,9.1685
24886,35227,51.5805,7.1515
24903,12571,51.2985,6.5575
24905,3320,53.1095,8.4575
24906,15456,48.2005,11.5875
24907,3209,51.3705,7.4775
24915,8823,49.7995,9.9775
24957,204796,48.9905,12.1995
24970,9135,51.1875,6.4205
24982,33984,50.9785,7.0315
24995,201011,49.4495,11.0615
25262,8899,51.5685,8.8405
25270,47447,50.0975,8.6305
25329,21161,49.1815,9.2285
25341,8899,50.1175,7.7995
25606,41981,51.4805,11.9775
26322,209040,51.6985,9.1085
26338,44194,52.4715,13.3685
26353,31317,47.8785,12.6295
26602,8767,48.1085,11.5875
26755,3320,50.1095,8.6795
26821,3320,48.7375,9.2685
26827,8767,48.1705,11.4985
26911,3320,49.7175,8.8375
26970,3320,51.9775,9.5105
27055,8881,48.9695,8.4795
27199,3320,49.9915,6.3115
27219,3320,48.5515,8.9675
27321,3320,51.4575,7.1885
27376,60522,51.2905,6.9305
27394,9145,53.1795,8.1915
27601,3320,52.1375,8.5575
27606,3320,47.7805,9.6075
27632,9145,52.9485,8.0285
27668,3320,50.3815,8.0405
27740,3320,50.1575,8.4695
27782,3257,50.0985,8.6315
27793,3320,53.0985,8.7915
27796,3209,50.1105,8.6315
27918,43357,50.9615,6.9375
28008,8881,53.5515,9.9275
28125,3209,51.2695,6.8085
28260,9136,52.4375,10.8405
28280,8881,50.0875,8.2315
28287,3320,48.9505,9.0215
28296,3320,51.1705,10.4515
28460,13101,52.9975,9.8305
28487,14593,52.6205,13.2415
28582,3320,49.3085,7.2815
28623,3320,50.8285,8.2285
28637,9145,53.6005,8.6285
28672,8899,48.1285,11.1605
28698,20686,49.2815,11.1015
28726,58299,48.2805,11.5585
28728,57353,52.7315,10.2285
28729,3209,54.7915,9.4285
28738,3320,48.7815,9.1485
28752,6805,51.5885,8.1495
28754,8899,51.8195,8.6795
28762,3320,53.4885,10.1605
28765,3209,48.6295,9.0305
28790,,54.0975,12.1215
28886,3209,49.6305,8.6215
28895,3209,48.0195,11.4815
28903,58243,52.5085,13.5075
28907,,50.7805,7.0875
28913,198967,52.0085,8.5675
28916,196819,49.4505,7.8075
28932,8899,49.0985,8.0685
28933,3320,52.5285,13.2185
28934,3320,49.2195,6.9985
28940,8881,50.0175,8.7895
28956,3209,53.1005,8.8195
28965,8881,52.4795,13.4305
28966,8881,49.0105,8.4405
28985,15943,53.6995,10.0015
28987,8767,48.1405,11.5415
28991,3320,52.4075,12.9815
29012,41998,48.9285,10.4875
29203,210793,48.3585,11.2575
29204,3320,53.2995,10.5675
29211,8899,51.6475,8.6975
29212,3320,51.5585,9.9275
29213,3320,49.2585,7.2475
29215,3209,48.0495,7.8675
29217,3320,54.0905,12.1375
29219,3209,50.8915,6.9875
29220,,48.9675,8.4085
29222,62336,49.1785,9.3285
29227,3209,51.1805,6.8685
29245,12480,49.0095,8.4195
29250,3320,51.6075,7.2195
29278,8899,51.9515,6.9905
29284,8881,51.4695,7.4415
29289,3209,49.6615,8.5715
29292,3320,50.0085,8.3515
29304,3209,53.4895,10.2475
29308,3320,48.6315,9.2275
29321,212567,52.2375,10.9985
29323,3320,51.7085,14.3185
29325,6805,50.7595,7.3085
29329,3320,52.2915,8.0385
29340,209040,51.5275,9.1295
29349,9145,53.1415,8.2095
29368,3209,52.5515,13.4905
29377,42965,52.7305,10.7205
29384,6805,53.6295,10.1715
29386,3209,49.9805,7.9315
29387,3209,49.4705,8.6615
29388,6805,51.9915,8.7915
29389,3209,51.5815,6.9715
29391,3320,49.4875,8.4715
29393,3320,51.4585,7.9415
29396,3320,47.6605,10.0315
29403,3320,50.9585,6.1375
29405,8422,50.7895,6.1075
29406,8422,51.0605,7.0375
29435,3320,48.9295,9.1985
29444,8899,49.2495,8.7195
29485,6805,49.3395,11.1715
29503,3209,48.7385,9.3175
29513,3320,50.6785,7.2575
29543,8881,49.8185,6.6095
29568,24940,50.4815,12.3605
29572,3320,49.8785,8.6505
29584,8881,49.4495,8.4915
29602,8881,49.4385,8.6175
29610,58299,51.2375,6.8475
29617,3320,51.9405,10.1275
29633,3320,49.1385,8.2085
29639,3320,47.7515,11.3685
29647,3320,49.9205,9.0695
29651,15943,53.6675,10.1495
29653,3320,49.4185,11.0195
29659,3320,50.0915,11.9695
29660,198930,53.6075,10.6405
29665,3320,49.3295,11.0305
29680,3320,49.6575,8.5715
29682,3209,49.2385,7.0615
29688,3320,50.8215,12.9415
29698,3209,50.1715,8.9215
29703,3320,48.8485,10.9475
29712,3320,50.7485,7.7675
29714,8881,50.7495,12.6275
29717,,51.9605,7.6275
29720,12611,49.0375,12.1185
29748,3209,48.6715,8.9995
29751,31317,48.7675,13.0595
29760,8767,48.1775,11.5105
29771,3209,53.1575,8.6105
29790,8881,51.3075,12.3015
29926,201886,48.7805,9.1685
29951,3320,49.3375,9.1195
29958,3320,53.1415,8.1995
29962,3320,49.3285,6.7505
29979,8881,53.8115,10.3605
29984,3320,51.2795,12.3715
29994,8881,49.4495,11.0815
30393,15943,53.5985,10.0715
30434,30766,49.6795,8.5985
30458,3320,52.2015,7.9295
30566,3320,52.5505,13.4305
30644,3320,49.4395,11.0995
30673,8859,50.2485,10.9605
30685,21473,49.5695,8.0615
30717,3320,49.0105,12.0875
30729,207790,53.8615,9.7085
30764,8422,50.8895,6.8405
30777,3320,52.5505,13.4505
30795,43910,48.5195,9.0615
30810,6805,52.4975,13.4175
30835,3320,54.1695,12.3485
30919,3209,50.8215,6.8975
30957,3320,48.4405,13.0095
30958,3320,50.9015,10.5595
30990,3209,51.1175,6.9515
30997,24940,49.4505,11.0115
31022,3320,48.1385,11.5585
31040,29670,52.5275,13.3595
31056,3320,48.3705,10.8995
31058,8220,52.5415,13.4195
31191,3320,49.9775,9.1715
31520,3320,51.7775,14.3085
31557,8767,48.1605,11.5695
31642,202716,48.1485,11.5495
31721,3209,53.0775,8.8785
31769,50436,52.5215,13.4005
31798,50873,51.2715,6.8215
31799,3320,50.6715,7.1515
31813,42652,49.5885,11.1575
31836,8899,49.6405,10.9985
31849,43847,50.9315,12.1995
31860,3320,49.4975,8.5405
31861,3209,53.5475,9.9805
31867,3209,52.4505,13.3605
31874,50436,52.5195,13.4505
31875,8881,49.0095,12.1005
31881,3320,51.1175,9.1315
31902,8881,48.9985,8.5175
31916,3209,52.5805,13.3575
31941,12886,48.2575,10.9895
31945,8881,51.9295,7.6195
31951,3320,50.4275,10.1695
31956,50436,52.5205,13.3095
31959,3209,49.3815,8.6695
31966,3320,48.7805,9.2805
32028,41955,51.5415,9.9185
32032,8881,51.9285,7.6685
32042,212238,48.1285,11.5795
32064,3320,53.0195,12.9705
32104,16202,50.9495,11.6075
32120,12886,48.1775,10.7585
32121,8899,49.8375,8.6985
32134,3209,48.0595,8.4485
32273,3320,48.6185,9.0605
32274,,52.0395,6.8205
32347,,48.8505,8.5995
32375,9145,53.0995,8.7905
32424,3320,52.4295,13.2985
32600,3320,53.1175,8.1775
32610,3320,53.2475,10.4275
32652,3209,48.1385,11.5795
32685,206339,48.7095,9.6515
32700,3320,48.2175,11.2575
32711,3320,52.4375,13.5375
32715,29670,52.4695,13.3675
32757,3320,50.0005,8.5795
32951,3320,53.6675,14.1895
33442,680,52.1385,11.6495
33444,197524,48.1795,12.2395
33446,50017,53.5605,9.9395
33480,3209,51.3975,7.1915
33507,15743,52.4105,9.7275
33518,3320,53.5515,9.9775
33524,3320,51.6895,12.7185
33543,42184,52.1885,7.5095
33833,9145,53.1385,7.3185
33871,209400,49.1575,8.4905
33874,3320,50.7295,7.1405
33875,3209,48.7895,9.2005
33886,3320,48.1105,8.3115
33891,3209,49.8875,7.2415
33902,15366,52.1885,11.5675
33936,6805,47.7805,9.5785
33973,62336,49.9985,8.0205
33983,31259,50.8885,12.7915
33992,8881,48.4785,7.9715
34005,3209,49.4495,10.9175
34009,3320,49.4115,11.1175
34014,3209,50.1095,8.6775
34040,3320,51.0375,13.7295
34099,3320,51.7515,10.8815
34107,208183,49.0205,8.3875
34171,3320,49.4375,11.0705
34235,8881,49.4195,11.0585
34272,3209,52.4385,13.3005
34422,3320,48.7785,9.1785
34442,3320,52.5185,13.4295
34447,8881,48.7705,9.1495
34458,15943,53.5515,10.0095
34462,21473,49.4885,8.4705
34484,3320,51.9195,7.5215
34593,57353,52.2785,8.6415
34604,12312,53.3095,13.8475
34612,3320,52.3985,13.2075
34622,8899,51.1885,6.5385
34637,60294,51.8405,7.8285
34696,3320,50.0105,8.2615
34748,13101,54.3015,10.0595
34752,3320,48.3585,10.9095
34798,12843,49.0315,8.4715
34812,202329,48.9785,8.4075
34871,198930,53.5675,10.5705
34878,8881,51.2415,6.8005
34911,8881,51.4975,6.4775
34933,3320,49.9785,8.1185
34943,3209,48.5085,9.6195
34961,12611,49.0075,12.1005
34972,29140,50.1185,8.7405
34975,3320,52.4195,10.7805
34992,64475,50.2185,8.7715
35009,50030,52.5115,13.3175
35015,8881,50.7995,12.8675
35202,8422,50.9385,6.9575
35357,9063,49.7605,7.5695
35393,57342,52.3185,12.7715
35441,3209,51.6075,7.1795
35503,207790,54.0185,9.3775
35512,3320,51.4185,7.1075
35570,,52.5175,13.4505
35573,13101,54.2985,10.1305
35663,62336,49.2085,9.0505
35780,204052,50.8875,11.6015
50002,3209,51.9585,8.5175
50008,3320,48.2215,11.2575
50009,198930,53.6015,10.4575
50014,5539,48.1395,11.5775
50025,9211,53.5495,10.0485
50027,205112,50.0205,8.6985
50033,3320,50.8285,8.2285
50034,553,48.7395,9.0985
50048,3320,48.8715,8.8095
50076,3320,52.4005,9.7805
50126,28979,49.0105,8.3985
50153,39835,50.5785,8.9695
50158,202329,48.9315,9.3695
50177,8823,49.8305,10.0005
50383,202278,51.8685,7.7415
50412,207790,54.0285,9.1675
50445,3320,49.7895,9.9295
50470,3209,52.4275,9.6205
50532,3320,50.3485,8.9685
50534,9145,53.0295,8.5385
50543,8881,52.5185,13.3995
50548,8881,52.3415,9.6995
50590,680,51.3275,12.3415
50599,202329,49.0015,8.4715
50603,8422,50.7085,7.0675
50614,8767,48.1495,11.5675
50626,3320,49.0105,8.4685
50647,41998,48.5105,8.9395
50651,29014,53.5475,10.0395
50663,8220,48.7185,9.1305
50680,3209,54.5175,9.5815
50689,3320,48.5915,9.2415
50715,3320,51.1895,6.4475
50743,21263,47.7185,9.2395
50765,35244,53.4195,10.3205
50771,3320,53.5775,7.2205
50800,3320,50.7975,12.8975
50828,3209,48.3815,10.0085
50840,12923,53.4875,9.1395
50852,3320,50.3285,11.6995
50879,12897,49.6515,8.7805
50890,3209,52.4475,13.4815
50896,8881,50.9205,7.1715
50913,9145,53.4685,9.1275
50917,35244,48.2705,8.6975
50922,33843,48.9485,9.4285
50955,3320,49.4495,8.8095
50966,9145,53.3305,7.3405
51003,20676,53.8685,10.6875
51017,200924,48.0505,8.4575
51022,197269,51.4885,6.8685
51028,3209,52.5315,9.6485
51072,39835,51.2985,9.4305
51092,3320,52.4185,13.3615
51094,3209,48.3995,9.0515
51130,29018,51.2375,6.7385
51156,3320,52.4305,13.1895
51160,9063,50.0875,6.7705
51183,8881,48.9085,9.5815
51186,3209,51.3605,12.3615
51191,3320,51.3175,12.3715
51215,39083,49.1395,8.5375
51254,21263,48.8295,9.5095
51256,196714,50.9405,11.3995
51269,3209,52.2415,10.4905
51278,8881,48.7315,9.0905
51279,3320,52.4615,13.2505
51303,196610,50.1185,8.7375
51308,3209,49.4715,8.5475
51313,12941,49.2485,6.7675
51325,3320,48.1295,11.6385
51403,3320,51.5285,11.3075
51456,3320,49.4405,11.0995
51487,3209,49.2705,7.0415
51497,9145,52.2005,8.3415
51511,3320,51.0275,13.8275
51643,9063,50.0585,7.4495
51681,12941,50.0975,8.6315
51682,6805,50.7985,8.7615
51834,42652,48.1895,10.3685
51987,3209,52.5605,13.3415
52033,41955,51.5385,9.9185
52094,207491,53.5795,9.9415
52279,3320,48.7015,9.0105
52290,29014,52.4475,13.4315
52315,3320,48.5395,12.1475
52324,6805,52.5695,13.4085
52327,202208,52.1905,7.8385
52339,15366,52.3115,13.0185
52340,3209,48.1075,11.6595
52368,3209,48.7115,9.4205
52491,3320,47.6675,9.5915
52506,3320,52.1905,11.6275
52523,29014,52.5385,13.2385
52525,21263,47.7795,9.6185
52544,8899,52.1995,10.2995
52553,,48.7685,9.1495
52559,201701,50.8715,12.0695
52597,6805,52.5605,13.4715
52673,6805,51.2385,6.7905
52676,12312,54.4705,9.1005
52680,8881,52.5375,13.3715
52682,3320,48.1085,11.5715
52685,8823,49.7995,9.7315
52704,35710,48.2795,8.8475
52712,3320,48.6485,9.3675
52715,6805,54.0895,13.3675
52718,8881,52.4315,13.3575
52726,202208,52.1805,7.8385
52730,8881,49.9475,8.4485
52749,9145,53.4415,8.8295
52750,3209,47.6075,9.5295
52753,8899,52.2785,7.6995
52793,60294,52.1985,7.2615
52802,197164,48.3285,11.7375
52811,12759,50.9275,6.2575
52831,3209,49.0075,8.3985
52839,60150,48.2415,9.0785
52901,29008,48.9975,12.1575
52973,29014,53.6385,10.0205
52980,3209,51.9675,7.6415
52994,3320,51.1795,14.4315
52995,3320,48.3995,9.0515
53000,12360,50.3975,8.0775
53004,57353,50.6895,7.0275
53014,9063,49.6595,8.4475
53039,3209,51.9515,9.0985
53040,8899,49.2575,8.1295
53053,3320,49.9785,9.9695
53066,62336,50.3105,8.2705
53100,44946,51.1875,6.8675
53171,50436,52.5175,13.4605
53179,3320,50.8515,9.7005
53186,3320,53.6005,9.4915
53187,8422,50.9505,6.9515
53195,8881,51.3595,9.4515
53196,8899,51.5005,7.8915
53204,29014,53.6195,9.9975
53215,8422,50.9095,6.9675
53219,3320,48.6315,8.1075
53246,15366,52.2105,11.5595
53254,3320,50.8395,12.9495
53265,3320,49.0095,8.4005
53267,6805,50.6905,7.1905
53270,21263,48.8175,9.5205
53281,3209,50.1275,8.9515
53285,3320,50.6595,6.7815
53309,35710,48.2815,8.8475
53311,198570,49.8975,10.8875
53329,680,51.2415,7.1485
53331,3320,48.1775,11.7985
53333,3320,50.0285,9.1685
53353,12886,48.3985,10.2695
53359,6805,50.3515,7.5695
53376,3320,51.3005,9.4905
53378,3320,49.3815,8.3705
53400,,48.0675,10.0775
53437,12611,49.0105,12.0985
53441,9136,52.4075,10.9395
53443,13045,52.2585,9.7595
53453,15817,53.5485,10.0495
53485,3320,50.0395,10.5015
53489,3320,48.6715,9.1215
53557,8881,52.3905,13.0895
53558,3209,52.4615,9.7395
53566,,49.2305,7.3505
53696,25415,54.3105,10.1315
53717,8899,51.1705,6.6275
53721,3209,53.0675,8.7985
53744,3320,50.4895,9.6995
53771,8899,51.3975,6.4405
53806,8767,48.1405,11.5575
53821,207439,51.5175,6.9185
53886,3209,48.4305,12.9215
