mun_key,probe-1,probe-2,probe-3,probe-4,probe-5,distance-1,distance-2,distance-3,distance-4,distance-5
120520000000,31520,1003046,29323,24040,7096,2.3784151784944627,2.7117009776906618,5.337669790941246,13.584674736368523,62.99874986422187
120510000000,35393,28991,1012075,1014434,52339,20.014777616507846,31.59447542796318,33.58611874184865,34.4034147855133,35.818627412374376
120645408084,10811,54835,11210,1012886,7521,14.691792349685377,21.799703870073287,28.34519529735972,31.489232129111617,31.604881348656185
120615113308,24040,1003046,31520,29323,1012375,20.110697166196633,22.533311881204966,22.864786931664597,30.56241097933622,59.37117018537163
120615108328,1012375,23606,11210,14502,1010158,27.06283161294134,35.91663752405117,36.578939325651326,37.25842712651193,37.8458739503176
120620092092,1014259,24040,33524,29323,31520,31.366056151637984,49.42197403065096,53.97335285569546,57.322626115137766,58.02175945319197
120660112112,29323,24040,31520,1003046,7096,25.15753835383522,28.31806563198172,29.463560129240644,29.75084511405697,50.17375627657673
120630244244,60721,35393,28991,1012075,1014434,33.93561740176282,37.438145665568285,44.94050192256555,47.097979487099096,48.81947328441283
040110000000,2322,2332,1012116,71,27793,0.7227148880723504,0.7227148880723504,1.1398211912945952,1.7881330719980364,1.8432778235148006
020000000000,12125,62031,1458,31861,1008912,0.11557802602742874,0.17210519875676167,0.3350642311505084,0.4661904542377702,0.6420168585896461
064120000000,1003186,7184,1005585,1009095,1000376,0.07039096003770358,0.08470272029717861,0.08470272029717861,0.08470272029717861,0.13318642467515612
064140000000,28280,21313,34696,6336,29292,0.7178261999978744,0.9488103654792865,8.230581538633789,10.292015409061715,11.574268220406498
066110000000,1001472,62423,1011089,1013469,1010829,1.2650817295699155,1.3610143529642449,1.7316846221072044,1.7357657604629295,1.7522438964481717
065350006006,1009566,53179,4718,1013294,6679,16.652942161294146,20.06313596036882,22.523107167960468,24.674231612023892,24.91115252278249
066350017017,1011688,22455,51682,31881,22098,11.473698331812251,20.86728128476444,20.919962328847987,24.409507563707404,32.70273438216071
066340023023,1009566,53179,12177,1005908,22098,8.19301264552785,19.026243571192712,22.682951342845527,23.379319320306507,29.047473943404835
064340007007,62422,16555,10293,19615,27740,5.159366650443255,10.160347123787606,11.002186412014225,13.051136121433215,15.565430030758396
064310016016,64296,29680,29289,30434,28886,0.2885496029089955,0.8770804962771053,1.2827076109483688,3.9971706166182095,4.624730212502514
065330003003,53066,60833,62422,1003422,53000,1.4836367079381152,10.574847975599527,17.161995794093226,17.98928420789693,17.989777871297424
130030000000,29217,3150,1008267,28790,30835,2.0439191137367008,2.463613907394776,2.4768171569133473,3.319438896089528,15.236243765677237
130040000000,1005887,19669,65876,1012370,29660,2.9369117919193384,4.652943058163618,42.56375869197251,47.23023251956346,50.57430570186312
130710107107,54613,54770,34604,22475,32064,9.530151390945631,40.1923697747945,46.171741395858405,53.832915561912486,60.36492182727947
130735355076,1009634,52715,30835,29217,1008267,20.91446064666955,33.34744228275386,35.78596764419009,50.94605567639887,51.390009929391034
130735355024,1009634,52715,30835,29217,1008267,22.696877301018404,33.50039559750902,34.866373424913945,49.78219136596336,50.22932913426617
130755551074,1004912,52715,32951,54613,1009634,12.421798028515939,35.27472953134693,38.42364940314035,53.01504993253222,63.420438727330925
130715163004,54613,54770,52715,1004912,34604,8.039751368872682,32.843652882731085,45.276650687635126,52.77524571683062,58.24524497137575
130725261095,3150,1008267,29217,28790,30835,16.495450183760585,16.833833682682993,16.88082756448453,17.569710879974565,30.034981369280054
130720058058,28790,3150,1008267,29217,30835,21.592435437871,21.94551031394871,22.053280926449183,22.50716967325664,37.96918994269251
032410001001,1008669,1007906,65494,1010352,1012117,0.919987623637862,0.9851427568544219,1.3278156776990244,1.5047210102969066,1.7288693006541245
031010000000,16334,11421,22340,14803,54749,0.8692583017391133,1.6436028341820912,1.7046215407874563,1.7452141041602172,2.0624925692455416
034040000000,13477,29329,65058,30458,62504,1.818646342654052,2.111198891190145,4.798136752226643,11.968382807730086,16.073066278309444
033585402018,20060,22055,51028,2615,28460,26.822229322435234,31.671721330194284,33.600566530715035,37.634414654780635,38.502644729792316
032575407033,61286,1000675,1006460,50470,61613,3.8914760271933093,11.972135441637409,20.399573334639506,24.19537292814573,24.5024809243064
033545403021,60721,1005887,29377,1006313,19669,52.564234775567854,63.35598246144594,64.71613006147714,67.78290941836721,70.55723948622216
032570009009,61613,1006460,11075,61286,34593,5.9298434260592465,11.786825301221004,14.639165185311525,16.157896079797204,27.476415512417372
033580019019,28460,2615,3294,1013165,11863,15.539261082384922,18.733948563252067,21.432189673096453,21.70246117058629,35.67626120513223
032410007007,53443,1013231,1013241,1008711,50548,4.651532258993393,4.944578029374489,4.97099602059652,5.372981688312087,5.4517554522719305
053150000000,35202,53187,1009944,27918,62183,0.25462295825990316,1.329585977684309,2.4187625326255593,2.7912470823356803,2.979277339024342
051110000000,1005689,1013507,1009845,1012055,1008165,0.10661891083406347,0.37844973250265146,0.5549322631412182,0.5549322631412182,0.6157409447670289
059130000000,6357,164,1009697,54635,29284,1.3322375852588868,1.860468205145111,3.3895830748302522,3.699366299770164,5.336688521454527
053580012012,60180,1010983,53285,54759,1000948,18.220491184181903,20.54136752991256,23.02930865828365,23.617957303325454,24.193815919739695
059580020020,1011688,31881,22455,51682,28623,12.688729000073918,35.846538710110266,36.19698457763393,36.34238362188989,41.88207156360973
071435007067,1004571,1000714,18470,1013237,29712,10.814020433739916,11.194655623496264,13.754531873319072,23.535470882891985,23.838359222103005
051580008008,20471,1206,65338,13430,23191,4.640779371354228,4.8639706474806115,6.527204456595168,9.279988479010916,9.499751571435562
057540032032,1014162,61867,1001567,2227,13662,9.552430832036322,12.794822923408718,13.243897660558012,15.742961985900788,18.21325880319408
059540012012,24907,1012895,1009584,33480,1014441,9.48738314024899,9.702478715677069,11.815077911945364,13.057533823209607,13.165199969000437
082220000000,1013255,4435,34462,1012971,29391,0.3924274706431746,0.9696821218022147,1.1422515726767353,1.1847889169329446,1.2508327974167137
073150000000,34696,6336,29292,21313,28280,1.5855379600589605,2.7611429809777635,5.60848490606848,9.461762671745667,10.313422192973533
073140000000,7208,1013255,15146,11463,4435,1.5341517904207662,2.7134672001654248,3.1700179794633527,3.2372261309817807,3.3121173885124398
073335007054,1011289,1000506,35357,30685,29386,5.779936133856617,13.41449419474072,14.99478793059895,27.344563986703307,30.433083773235452
072325008070,51160,27199,29543,1013838,17909,13.774104201941359,20.878619461650466,24.631086536256618,28.106876125446714,37.66076502347857
071415009069,25341,29386,33973,51643,34933,4.235731361957786,17.039878892887504,21.019788032105172,22.614174237560825,28.29374398823666
073375001501,53040,28932,1008393,29633,1014049,13.141094086504106,13.59041963914833,17.676100721051757,18.778989830579025,18.992821476654875
073395007049,52730,10864,1008795,21674,29292,12.37707367937406,13.705093821738059,14.600165635172441,15.158739183538632,17.427170806872017
071345002010,1007168,1008016,1010401,33891,35357,17.40644338636729,19.72295168368277,23.699385777600128,27.259688861441806,31.76616394436434
100410100100,4873,28934,1004591,6858,29682,1.161951058336972,1.98252427445655,2.284328518715547,3.9880831152932914,4.549957438926232
100430114114,28582,61389,29213,51487,6858,8.295466760457764,10.296634566773582,10.441845941853693,12.685283361194363,13.436443637698305
