mun_key,distance,probe_id,msm_id,type,step,proto,prb_id,dst_addr,dst_name,af,size,avg_rtt,min_rtt,med_rtt,max_rtt,sent,rcvd,lost,ttl,sample_type,mun_name_short,mun_pop_cen22,state,mun_lat,mun_lon
095640000000,0.3969006325485668,1011139,155973633,ping,,ICMP,1011139.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,4.7528854,4.647864,4.744,4.89185,5,5,0,53,top,Nürnberg,529508,Bayern,49.4550067,11.0795156
095730120120,9.53963220854264,60757,155973633,ping,,ICMP,60757.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,7.4970132000000005,6.323759,7.944,8.570705,5,5,0,58,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
095730120120,11.776192320267384,15128,155973633,ping,,ICMP,15128.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,11.305065599999999,10.913428,11.341,11.885466,5,5,0,56,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
095730120120,11.783299799603466,34005,155973633,ping,,ICMP,34005.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,16.009733999999998,15.525178,16.02,16.527435,5,5,0,54,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
095730120120,13.37318875992394,46,155973633,ping,,ICMP,46.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,14.895056599999998,14.170371,14.982,15.562756,5,5,0,58,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
095730120120,16.543995247314314,22981,155973633,ping,,ICMP,22981.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,10.415557000000002,10.132658,10.49,10.525949,5,5,0,56,median,Langenzenn,10438,Bayern,49.48626729999999,10.7650387
096775621181,6.0359014458803815,1010374,155973633,ping,,ICMP,1010374.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,4.3359958,4.240588,4.329,4.457923,5,5,0,51,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
096775621181,10.633809810838,1011093,155973633,ping,,ICMP,1011093.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,10.7591088,10.393549,10.763,10.976726,5,5,0,58,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
096775621181,14.754627006239993,52685,155973633,ping,,ICMP,52685.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,14.535025200000002,13.945875,14.324,15.461209,5,5,0,57,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
096775621181,27.263250741882032,50445,155973633,ping,,ICMP,50445.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,30.012566599999996,29.650792,29.825,30.636125,5,5,0,56,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
