mun_key,sample_type,mun_name_short,mun_pop_cen22,state,lat,lon
100410511511,bottom,Friedrichsthal,10180,Saarland,49.3250041,7.098935000000001
100460117117,median,St. Wendel,25441,Saarland,49.4491481,7.1621763
100440111111,median,Dillingen/ Saar,21529,Saarland,49.3630559,6.726753200000001
100450112112,median,Blieskastel,20197,Saarland,49.2390311,7.259486700000001
147130000000,top,Leipzig,611850,Sachsen,51.3383504,12.3634475
146120000000,top,Dresden,564904,Sachsen,51.05754959999999,13.7170648
145110000000,top,Chemnitz,245618,Sachsen,50.8365233,12.9239317
145225129520,bottom,Sayda,1659,Sachsen,50.7612417,13.4192075
146285221370,bottom,Stadt Wehlen,1538,Sachsen,50.95783729999999,14.024747
146285202230,bottom,Liebstadt,1207,Sachsen,50.8618191,13.8521893
145245111130,median,Kirchberg,7678,Sachsen,50.5927385,12.5466197
146270220220,median,Radeburg,7615,Sachsen,51.2011969,13.7403313
145235134430,median,Treuen,7597,Sachsen,50.5371205,12.313432
150030000000,top,Magdeburg,244329,Sachsen-Anhalt,52.1146346,11.6326339
150020000000,top,Halle (Saale),226767,Sachsen-Anhalt,51.4872577,11.9600411
150010000000,top,Dessau-Roßlau,75402,Sachsen-Anhalt,51.8595265,12.2608019
150905051610,bottom,Werben (Elbe),899,Sachsen-Anhalt,52.8612017,11.9824345
150845054470,bottom,Stößen,869,Sachsen-Anhalt,51.113664,11.926162
150905052445,bottom,Sandau (Elbe),796,Sachsen-Anhalt,52.7937242,12.0514502
150910160160,median,Kemberg,9217,Sachsen-Anhalt,51.7845531,12.6593912
150840235235,median,Hohenmölsen,9211,Sachsen-Anhalt,51.1563734,12.0998726
150910391391,median,Zahna-Elster,8984,Sachsen-Anhalt,51.8945794,12.8306253
010020000000,top,Kiel,252668,Schleswig-Holstein,54.323924,10.1315442
010030000000,top,Lübeck,216889,Schleswig-Holstein,53.8654673,10.6865593
010010000000,top,Flensburg,96326,Schleswig-Holstein,54.7849139,9.430704
010540033033,bottom,Friedrichstadt,2563,Schleswig-Holstein,54.376391,9.0951429
010615153055,bottom,Krempe,2435,Schleswig-Holstein,53.83681079999999,9.4901695
010595920002,bottom,Arnis,251,Schleswig-Holstein,54.6298099,9.9292469
010550032032,median,Neustadt in Holstein,15930,Schleswig-Holstein,54.1071426,10.8136713
010600004004,median,Bad Bramstedt,15439,Schleswig-Holstein,53.9195822,9.882173
010530100100,median,Ratzeburg,15026,Schleswig-Holstein,53.6989627,10.7710605
160510000000,top,Erfurt,218793,Thüringen,50.9754314,11.0261851
160530000000,top,Jena,109725,Thüringen,50.96389749999999,11.6024872
160520000000,top,Gera,95608,Thüringen,50.8805212,12.0805073
160755013127,bottom,Ziegenrück,626,Thüringen,50.6083002,11.6509304
160715053061,bottom,Neumark,462,Thüringen,51.0797524,11.247166
160695004052,bottom,Ummerstadt,455,Thüringen,50.2601489,10.8128716
160690062062,median,Römhild,6383,Thüringen,50.3850589,10.5758248
160630103103,median,Werra-Suhl-Tal,6028,Thüringen,50.9297773,10.1121563
160700058058,median,Großbreitenbach,5884,Thüringen,50.5921286,11.0464115
