id,mun_key,mun_name,mun_name_short,mun_zip,mun_pop_cen22,mun_pop_cen22m,mun_pop_cen22f,mun_dens_cen22,mun_sizekm2,state,lat,lon,geo
57,091610000000,Ingolstadt,NA,85047,141185,71791,69394,1059,133.35,NA,NA,NA,NA
58,082310000000,"Pforzheim, Stadt",NA,75175,134912,66418,68494,1377,97.99,NA,NA,NA,NA
59,096630000000,Würzburg,NA,97070,133258,63762,69496,1521,87.6,NA,NA,NA,NA
60,064130000000,"Offenbach am Main, Stadt",NA,63065,132746,66705,66041,2958,44.88,NA,NA,NA,NA
61,095630000000,Fürth,NA,90744,132036,65040,66996,2084,63.35,NA,NA,NA,NA
62,081210000000,"Heilbronn, Universitätsstadt",NA,74072,131986,66833,65153,1321,99.89,NA,NA,NA,NA
63,084210000000,"Ulm, Universitätsstadt",NA,89073,129882,64087,65795,1094,118.68,NA,NA,NA,NA
64,031030000000,"Wolfsburg, Stadt",NA,38440,129560,64754,64806,633,204.62,NA,NA,NA,NA
65,031590016016,"Göttingen, Stadt",NA,37083,127259,62429,64830,1087,117.02,NA,NA,NA,NA
66,084150061061,"Reutlingen, Stadt",NA,72764,118852,58826,60026,1365,87.04,NA,NA,NA,NA
67,040120000000,"Bremerhaven, Stadt",NA,27576,118610,59076,59534,1170,101.41,NA,NA,NA,NA
68,055120000000,"Bottrop, Stadt",NA,46236,118535,57615,60920,1178,100.61,NA,NA,NA,NA
69,095620000000,Erlangen,NA,91051,115928,57672,58256,1506,76.96,NA,NA,NA,NA
70,055620032032,"Recklinghausen, Stadt",NA,45657,115344,56156,59188,1734,66.5,NA,NA,NA,NA
71,051200000000,"Remscheid, Stadt",NA,42853,113828,56768,57060,1527,74.52,NA,NA,NA,NA
72,071110000000,"Koblenz, Stadt",NA,56068,113378,56150,57228,1077,105.25,NA,NA,NA,NA
73,053780004004,"Bergisch Gladbach, Stadt",NA,51465,111361,53572,57789,1340,83.09,NA,NA,NA,NA
74,160530000000,"Jena, Stadt",NA,07743,109725,53798,55927,956,114.77,NA,NA,NA,NA
75,031020000000,"Salzgitter, Stadt",NA,38226,104970,52702,52268,468,224.49,NA,NA,NA,NA
76,072110000000,"Trier, Stadt",NA,54290,104342,51163,53179,891,117.06,NA,NA,NA,NA
77,059700040040,"Siegen, Universitätsstadt",NA,57072,102685,51115,51570,895,114.69,NA,NA,NA,NA
78,051700024024,"Moers, Stadt",NA,47441,101503,49277,52226,1501,67.64,NA,NA,NA,NA
79,057540008008,"Gütersloh, Stadt",NA,33330,100479,49731,50748,897,112.02,NA,NA,NA,NA
80,073120000000,"Kaiserslautern, Stadt",NA,67657,100426,50655,49771,719,139.7,NA,NA,NA,NA
81,032540021021,"Hildesheim, Stadt",NA,31134,98510,47126,51384,1067,92.29,NA,NA,NA,NA
82,130040000000,"Schwerin, Landeshauptstadt",NA,19053,98308,47222,51086,753,130.52,NA,NA,NA,NA
83,064350014014,"Hanau, Brüder-Grimm-Stadt",NA,63450,97956,48325,49631,1284,76.28,NA,NA,NA,NA
84,010010000000,"Flensburg, Stadt",NA,24937,96326,47651,48675,1698,56.73,NA,NA,NA,NA
85,081160019019,"Esslingen am Neckar, Stadt",NA,73728,96182,48555,47627,2072,46.43,NA,NA,NA,NA
86,160520000000,"Gera, Stadt",NA,07545,95608,46893,48715,628,152.18,NA,NA,NA,NA
87,120520000000,"Cottbus/Chóśebuz, Stadt",NA,03046,95123,46134,48989,574,165.61,NA,NA,NA,NA
88,053580008008,"Düren, Stadt",NA,52349,94568,47041,47527,1112,85.01,NA,NA,NA,NA
89,081180048048,"Ludwigsburg, Stadt",NA,71638,92858,45442,47416,2143,43.34,NA,NA,NA,NA
90,084160041041,"Tübingen, Universitätsstadt",NA,72070,92322,43500,48822,854,108.07,NA,NA,NA,NA
91,059620024024,"Iserlohn, Stadt",NA,58636,91811,44796,47015,732,125.49,NA,NA,NA,NA
92,059540036036,"Witten, Stadt",NA,58452,91808,44321,47487,1268,72.4,NA,NA,NA,NA
93,083265004074,"Villingen-Schwenningen, Stadt",NA,78050,89756,44240,45516,542,165.53,NA,NA,NA,NA
94,051580028028,"Ratingen, Stadt",NA,40878,89368,43531,45837,1007,88.74,NA,NA,NA,NA
95,065310005005,"Gießen, Universitätsstadt",NA,35390,89179,44120,45059,1228,72.61,NA,NA,NA,NA
96,145240330330,"Zwickau, Stadt, Hochschulstadt",NA,08056,87410,43021,44389,852,102.58,NA,NA,NA,NA
97,083355004043,"Konstanz, Universitätsstadt",NA,78462,86919,41634,45285,1606,54.12,NA,NA,NA,NA
98,055620024024,"Marl, Stadt",NA,45772,86766,42498,44268,989,87.76,NA,NA,NA,NA
99,073190000000,"Worms, Stadt",NA,67547,86753,43523,43230,798,108.73,NA,NA,NA,NA
100,059780024024,"Lünen, Stadt",NA,44532,86163,41922,44241,1451,59.39,NA,NA,NA,NA
101,057700024024,"Minden, Stadt",NA,32423,84013,41369,42644,831,101.12,NA,NA,NA,NA
102,010600063063,"Norderstedt, Stadt",NA,22846,82844,40389,42455,1426,58.1,NA,NA,NA,NA
103,051580032032,"Velbert, Stadt",NA,42551,82463,40323,42140,1101,74.9,NA,NA,NA,NA
104,034010000000,"Delmenhorst, Stadt",NA,27749,81406,40106,41300,1304,62.45,NA,NA,NA,NA
105,010040000000,"Neumünster, Stadt",NA,24534,79809,39742,40067,1114,71.66,NA,NA,NA,NA
106,051660032032,"Viersen, Stadt",NA,41747,78373,38634,39739,860,91.1,NA,NA,NA,NA
107,055660076076,"Rheine, Stadt",NA,48431,77209,38071,39138,532,145,NA,NA,NA,NA
108,094610000000,Bamberg,NA,96031,77150,37822,39328,1412,54.62,NA,NA,NA,NA
109,053820068068,"Troisdorf, Stadt",NA,53840,75901,37451,38450,1224,62,NA,NA,NA,NA
110,034050000000,"Wilhelmshaven, Stadt",NA,26382,75745,37881,37864,707,107.11,NA,NA,NA,NA
111,055620014014,"Gladbeck, Stadt",NA,45964,75499,37076,38423,2099,35.97,NA,NA,NA,NA
112,150010000000,"Dessau-Roßlau, Stadt",NA,06844,75402,36058,39344,307,245.78,NA,NA,NA,NA
113,055620012012,"Dorsten, Stadt",NA,46284,75277,36784,38493,440,171.2,NA,NA,NA,NA
114,059580004004,"Arnsberg, Stadt",NA,59759,74879,36788,38091,387,193.72,NA,NA,NA,NA
115,033550022022,"Lüneburg, Hansestadt",NA,21335,74785,35816,38969,1061,70.5,NA,NA,NA,NA
116,057660020020,"Detmold, Stadt",NA,32756,74278,35949,38329,574,129.39,NA,NA,NA,NA
117,120510000000,"Brandenburg an der Havel, Stadt",NA,14770,74113,36154,37959,323,229.73,NA,NA,NA,NA
118,065340014014,"Marburg, Universitätsstadt",NA,35037,73544,34790,38754,594,123.91,NA,NA,NA,NA
119,055620004004,"Castrop-Rauxel, Stadt",NA,44575,73282,35955,37327,1418,51.68,NA,NA,NA,NA
120,055540008008,"Bocholt, Stadt",NA,46395,73257,36160,37097,614,119.4,NA,NA,NA,NA
121,096610000000,Aschaffenburg,NA,63701,73091,35768,37323,1170,62.45,NA,NA,NA,NA
122,094620000000,Bayreuth,NA,95410,72940,35859,37081,1090,66.89,NA,NA,NA,NA
123,092610000000,Landshut,NA,84026,71863,35242,36621,1092,65.83,NA,NA,NA,NA
124,059620032032,"Lüdenscheid, Stadt",NA,58507,71212,34940,36272,818,87.02,NA,NA,NA,NA
125,059740028028,"Lippstadt, Stadt",NA,59555,68739,33967,34772,605,113.68,NA,NA,NA,NA
126,097630000000,Kempten (Allgäu),NA,87435,67645,33233,34412,1069,63.28,NA,NA,NA,NA
127,081365001088,"Aalen, Stadt",NA,73430,67621,33739,33882,461,146.58,NA,NA,NA,NA
128,057580012012,"Herford, Hansestadt",NA,32052,67503,33040,34463,853,79.15,NA,NA,NA,NA
129,071380045045,"Neuwied, Stadt",NA,56564,67083,33106,33977,776,86.5,NA,NA,NA,NA
130,051700008008,"Dinslaken, Stadt",NA,46535,66993,32354,34639,1406,47.66,NA,NA,NA,NA
131,033510006006,"Celle, Stadt",NA,29221,66834,32190,34644,380,176.02,NA,NA,NA,NA
132,053620032032,"Kerpen, Kolpingstadt",NA,50171,66585,33018,33567,584,113.96,NA,NA,NA,NA
133,051620008008,"Grevenbroich, Stadt",NA,41515,65983,32248,33735,644,102.52,NA,NA,NA,NA
134,160550000000,"Weimar, Stadt",NA,99423,65954,31575,34379,781,84.47,NA,NA,NA,NA
135,064330012012,"Rüsselsheim am Main, Stadt",NA,65428,65627,32979,32648,1126,58.29,NA,NA,NA,NA
136,145230320320,"Plauen, Stadt",NA,08523,65599,32104,33495,642,102.11,NA,NA,NA,NA
137,066310009009,"Fulda, Stadt",NA,36037,65434,32297,33137,629,104.05,NA,NA,NA,NA
138,091630000000,Rosenheim,NA,83013,65274,32352,32922,1754,37.22,NA,NA,NA,NA
139,081365007065,"Schwäbisch Gmünd, Stadt",NA,73525,64416,31403,33013,566,113.81,NA,NA,NA,NA
140,051620004004,"Dormagen, Stadt",NA,41539,63799,31811,31988,746,85.5,NA,NA,NA,NA
141,083175010096,"Offenburg, Stadt",NA,77652,62993,31307,31686,804,78.37,NA,NA,NA,NA
142,084355002016,"Friedrichshafen, Stadt",NA,88045,62796,31071,31725,898,69.93,NA,NA,NA,NA
143,097750135135,"Neu-Ulm, GKSt",NA,89210,62641,31378,31263,774,80.95,NA,NA,NA,NA
144,053620028028,"Hürth, Stadt",NA,50354,62160,30408,31752,1214,51.22,NA,NA,NA,NA
145,053620008008,"Bergheim, Stadt",NA,50126,61611,30753,30858,640,96.34,NA,NA,NA,NA
146,081150045045,"Sindelfingen, Stadt",NA,71063,61422,30477,30945,1208,50.83,NA,NA,NA,NA
147,055620020020,"Herten, Stadt",NA,45699,60941,29657,31284,1632,37.33,NA,NA,NA,NA
148,051700048048,"Wesel, Stadt",NA,46483,60785,29630,31155,496,122.56,NA,NA,NA,NA
149,130710107107,"Neubrandenburg, Vier-Tore-Stadt",NA,17033,60344,28977,31367,701,86.12,NA,NA,NA,NA
150,053660016016,"Euskirchen, Stadt",NA,53879,60021,29528,30493,430,139.49,NA,NA,NA,NA
151,051580020020,"Langenfeld (Rheinland), Stadt",NA,40764,59975,29207,30768,1457,41.15,NA,NA,NA,NA
152,032410005005,"Garbsen, Stadt",NA,30823,59903,29210,30693,754,79.49,NA,NA,NA,NA
153,081175005026,"Göppingen, Stadt",NA,73033,58937,29254,29683,995,59.21,NA,NA,NA,NA
154,059780036036,"Unna, Stadt",NA,59423,58333,28101,30232,659,88.56,NA,NA,NA,NA
